No. Of Ads,Ranking,,Keywords,Header,Text,URL,Location,Timestamp
2,1,0.5,Sacramento Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053438
2,2,1,Sacramento Steakhouse restaurant,Sacramento Steakhouses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269053438
3,1,0.333333333,Sacramento Sushi restaurant,sushi restaurant,"Full Bar, Lunch Specials &amp; Take Out Japanese Restaurant &amp; Sushi Bar ",MegamiBento-YaRestaurant.AdzZoo.com,"Sacramento, CA",1269051905
3,2,0.666666667,Sacramento Sushi restaurant,Samurai Sushi,Sushi Made From Top Chefs Daily Drink &amp; Roll Specials! ,SamuraiSushi1.com/,"12251 Folsom Blvd, Rancho Cordova, CA",1269051905
3,3,1,Sacramento Sushi restaurant,Sushi Restaurant,Check Out Local.com To Find Sushi Restaurant In Your Area! ,Local.com,"Sacramento, CA",1269051905
1,1,1,Sacramento Thai restaurant,Sacramento Thai Restaurant,Sacramento Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269049740
2,1,0.5,Sacramento Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055674
2,2,1,Sacramento Vegan restaurant,&quot;Naan&quot;-Dairy Indian Food,Our Naans Are Not Made With Yogurt Other Vegan Options Also Available ,www.matisindianexpress.com,"Sacramento, CA",1269055674
1,1,1,Sacramento Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054861
1,1,1,Sacramento Wine Bar restaurant,Back Wine Bar,Folsom&#39;s Premier Wine Bar &amp; Bistro Taste 30+ Unique Wines By The Glass ,www.backwinebar.com,"Folsom, CA",1269133586
2,1,0.5,San Antonio Bar restaurant,Restaurant Bar,Great Specials Every Day. Visit Houlihan&#39;s Today. ,Houlihans.com/Specials,,1269132428
2,2,1,San Antonio Bar restaurant,San Antonio Bar Scene,Read Local Review of Bar Scenes on Citysearch. Try it now! ,SanAntonio.Citysearch.com,,1269132428
1,1,1,San Antonio best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155331
1,1,1,San Antonio Chinese restaurant,San Antonio Businesses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269050195
2,1,0.5,San Antonio Ethiopian restaurant,San Antonio Restaurants,Find listings &amp; reviews for top restaurants in San Antonio City. ,yellowpages.com,"San Antonio, TX",1269056793
2,2,1,San Antonio Ethiopian restaurant,Ethiopian restaurant,Find ethiopian restaurant here. We offer local search in your area. ,www.local.com,"San Antonio, TX",1269056793
3,1,0.333333333,San Antonio fine dining restaurant,Melting Pot - San Antonio,"Fondue, Fine Wine, Fun, Birthdays. Dip Into Romantic Fondue Specials. ",www.meltingpot.com,,1269153402
3,2,0.666666667,San Antonio fine dining restaurant,Ruth&#39;s Chris Steak House,Online reservations now available. Book your San Antonio table now. ,www.ruthschris.com,,1269153402
3,3,1,San Antonio fine dining restaurant,Crumpet&#39;s Restaurant &amp;,"open for lunch and dinner ,patio , casual gourmet , full bar, ",www.CrumpetsA.com,"3920 Harry Wurzbach Rd, San Antonio, TX",1269153402
2,1,0.5,San Antonio French restaurant,San Antonio Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147178
2,2,1,San Antonio French restaurant,Zagat Texas,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269147178
1,1,1,San Antonio healthy restaurant,Melting Pot - San Antonio,"Fondue, Fine Wine. Fun, Romantic. Weddings, Birthdays, Celebrations. ",www.meltingpot.com,,1269154802
1,1,1,San Antonio Indian restaurant,San Antonio Restaurants,Find listings &amp; reviews for top restaurants in San Antonio City. ,yellowpages.com,"San Antonio, TX",1269055948
1,1,1,San Antonio Irish bar restaurant,San Antonio Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269133866
2,1,0.5,San Antonio Italian restaurant,San Antonio Italian Restaurant,San Antonio Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269048754
2,2,1,San Antonio Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269048754
1,1,1,San Antonio Japanese restaurant,Bing™ Search Local,San Antonio Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052190
1,1,1,San Antonio Korean restaurant,San Antonio Businesses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269050787
2,1,0.5,San Antonio Mexican restaurant,Jacala Mexican Restaurant,Enjoy South-of-the-Border Favorites in San Antonio-Jacala Restaurant. ,Jacala.com,"606 W Avenue, San Antonio, TX",1269152614
2,2,1,San Antonio Mexican restaurant,San Antonio Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269152614
2,1,0.5,San Antonio romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269153944
2,2,1,San Antonio romantic restaurant,San Antonio Romantic,Look for Top-rated Romantic Dining near you with our Ratings! ,sanantonio.Citysearch.com,"San Antonio, TX",1269153944
2,1,0.5,San Antonio Spanish restaurant,San Antonio Businesses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269151214
2,2,1,San Antonio Spanish restaurant,Spanish Restaurants,Read Local review on Spanish Restaurant on Citysearch. Try it! ,SanAntonio.Citysearch.com,,1269151214
2,1,0.5,San Antonio Steak restaurant,Fleming&#39;s in Texas,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Texas,1269053678
2,2,1,San Antonio Steak restaurant,Steak restaurant,Find steak restaurant here. We offer local search in your area. ,www.local.com,"San Antonio, TX",1269053678
2,1,0.5,San Antonio Steakhouse restaurant,Fleming&#39;s in Texas,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,Texas,1269053133
2,2,1,San Antonio Steakhouse restaurant,San Antonio Steakhouses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269053133
2,1,0.5,San Antonio Sushi restaurant,Sushi Restaurants,Find Sushi Restaurants &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"San Antonio, TX",1269051625
2,2,1,San Antonio Sushi restaurant,Sushi Restaurants,Sort Local Sushi by Rating or Distance in your city! ,SanAntonio.Citysearch.com,,1269051625
1,1,1,San Antonio Tapas restaurant,San Antonio Tapas Bars,San Antonio Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269150693
1,1,1,San Antonio Thai restaurant,San Antonio Thai Restaurant,San Antonio Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269049475
1,1,1,San Antonio Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055356
2,1,0.5,San Antonio Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054592
2,2,1,San Antonio Vegetarian restaurant,Melting Pot - San Antonio,"Fondue, Fine Wine. Fun, Romantic. Weddings, Birthdays, Celebrations. ",www.meltingpot.com,,1269054592
1,1,1,San Antonio Wine Bar restaurant,Melting Pot - San Antonio,"Fondue, Fine Wine. Fun, Romantic. Weddings, Birthdays, Celebrations. ",www.meltingpot.com,,1269132964
2,1,0.5,San Diego Bar restaurant,Sports Bar In Chula Vista,"Monday Night Football in Here! All Football Pro Game, Great Food ",CentercutSportsBar.AdzZoo.com,,1269132446
2,2,1,San Diego Bar restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269132446
4,1,0.25,San Diego best restaurant,San Diego Fine Dining,Romance By Daylight Or Starlight Along Picturesque Mission Bay. ,www.ParadisePoint.com,"1404 Vacation Road, San Diego, CA 92109",1269155348
4,2,0.5,San Diego best restaurant,San Diego Dining Guide,"Restaurant Reviews, Photos, Menus Chef Profiles, Recipes, Coupons ",SanDiegoRestaurants.com,,1269155348
4,3,0.75,San Diego best restaurant,Cafe Japengo,Official Site. Cafe Japengo San Diego Sushi Restaurant. ,www.CafeJapengo.com,"8960 University Center Lane, San Diego",1269155348
4,4,1,San Diego best restaurant,CenterCut Restaurant,Serving Juicy Steaks And More. Come And eat Dine With Us Today! ,www.CenterCut.net,,1269155348
2,1,0.5,San Diego Chinese restaurant,San Diego Chinese Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269050222
2,2,1,San Diego Chinese restaurant,Chinese Restaurant San Diego,Find Restaurants in San Diego Using SDNN&#39;s Local Directory ,www.SDNN.com/restaurants,"San Diego, CA",1269050222
1,1,1,San Diego Ethiopian restaurant,San Diego Dining Guide,"Restaurant Reviews, Photos, Menus Chef Profiles, Recipes, Coupons ",SanDiegoRestaurants.com,,1269056810
4,1,0.25,San Diego fine dining restaurant,Ruth&#39;s Chris Steak House,Online reservations now available. Book your San Diego table now. ,www.ruthschris.com,"San Diego, CA",1269153419
4,2,0.5,San Diego fine dining restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269153419
4,3,0.75,San Diego fine dining restaurant,Bistro West Restaurant,Enjoy Fresh Dishes &amp; Ingredients. Join Us For Dinner and Happy Hour. ,www.bistrowest.com,,1269153419
4,4,1,San Diego fine dining restaurant,Restaurant Directory,Find Restaurants in San Diego Using SDNN&#39;s Local Directory ,www.SDNN.com/restaurants,"San Diego, CA",1269153419
2,1,0.5,San Diego French restaurant,San Diego French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147199
2,2,1,San Diego French restaurant,Zagat San Diego,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"San Diego, CA",1269147199
1,1,1,San Diego Greek restaurant,San Diego Greek Restaurant,San Diego Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148026
3,1,0.333333333,San Diego healthy restaurant,San Diego Dining Deals,Discover The Area&#39;s Top Restaurants At 50%+ off. Learn More. ,www.BuyWithMe.com,"San Diego, CA",1269154824
3,2,0.666666667,San Diego healthy restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269154824
3,3,1,San Diego healthy restaurant,Zagat San Diego,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"San Diego, CA",1269154824
1,1,1,San Diego Indian restaurant,Indian Restaurant San Diego,Delicious &amp; Healthy Indian Cuisine. Visit our Restaurant in Hillcrest. ,www.indiapalace-lajolla.com,,1269055963
1,1,1,San Diego Irish bar restaurant,San Diego Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269133890
4,1,0.25,San Diego Italian restaurant,IL Fornaio Trattoria,"San Diego&#39;s Authentic Italian Wine, Lunch &amp; Dinner. Banquets Welcome. ",www.ILFornaio.com/SanDiego,"San Diego, CA",1269048778
4,2,0.5,San Diego Italian restaurant,The Sofia Hotel San Diego,Experience Award-Winning Value Boutique Hotel Near Gaslamp ,www.thesofiahotel.com,,1269048778
4,3,0.75,San Diego Italian restaurant,Local Italian Restaurants,"Local Italian Food &amp; Restaurants - Gourmet, Family Style, Cafes, more. ",yellowpages.com,"San Diego, CA",1269048778
4,4,1,San Diego Italian restaurant,Featured Restaurants,Check out San Diego Restaurants San Diego Local News &amp; Information ,www.Sdnn.com/restaurants,"San Diego, CA",1269048778
3,1,0.333333333,San Diego Japanese restaurant,Bing™ Search Local,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269052214
3,2,0.666666667,San Diego Japanese restaurant,Zagat San Diego,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"San Diego, CA",1269052214
3,3,1,San Diego Japanese restaurant,Benihana in California,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052214
1,1,1,San Diego Korean restaurant,San Diego Dining Guide,"Restaurant Reviews, Photos, Menus Chef Profiles, Recipes, Coupons ",SanDiegoRestaurants.com,,1269050806
1,1,1,San Diego Mediterranean restaurant,Aladdin Restaurant,"Eat Healthy, Come to Aladdin! Fresh Mediterranean Cuisine ",AladdinCafe.com,5420 Clairemont Mesa Blvd #101,1269142151
4,1,0.25,San Diego Mexican restaurant,San Diego Mexican Restaurant,San Diego Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269152639
4,2,0.5,San Diego Mexican restaurant,Cafe Coyote in Old Town,"Voted Top Mexican 2005, 2006 &amp; 2008 Authentic Mexican Food In San Diego ",www.cafecoyoteoldtown.com,,1269152639
4,3,0.75,San Diego Mexican restaurant,Top Mexican Restaurants,"Fine Mexican Cuisine in San Diego. Reviews, Photos, Menus, Maps. ",SanDiegoRestaurants.com,,1269152639
4,4,1,San Diego Mexican restaurant,Mexican Restaurants,Look for Top-rated Mexican Food Near You with Our Ratings! ,san-diego.Citysearch.com,,1269152639
1,1,1,San Diego Middle Eastern restaurant,Aladdin Restaurant,"Eat Healthy, Come to Aladdin! Fresh Mediterranean Cuisine ",AladdinCafe.com,5420 Clairemont Mesa Blvd #101,1269140599
4,1,0.25,San Diego romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269153966
4,2,0.5,San Diego romantic restaurant,Aladdin Restaurant,"Eat Healthy, Come to Aladdin! Fresh Mediterranean Cuisine ",AladdinCafe.com,5420 Clairemont Mesa Blvd #101,1269153966
4,3,0.75,San Diego romantic restaurant,Blue Point Restaurant,Downtown Gaslamp Quarter Dining. Award Winning Seafood &amp; Oyster Bar. ,www.cohnrestaurants.com,,1269153966
4,4,1,San Diego romantic restaurant,San Diego Italian Food,Make a Reservation Today! Seven Locations. Romantic and Authentic. ,www.busalacchisrestaurantssd.com,"San Diego, CA",1269153966
1,1,1,San Diego Spanish restaurant,San Diego Dining Guide,"Restaurant Reviews, Photos, Menus Chef Profiles, Recipes, Coupons ",SanDiegoRestaurants.com,,1269151231
4,1,0.25,San Diego Steak restaurant,West Steakhouse &amp; Seafood,Get The Best Steak In San Diego. Dinner &amp; Happy Hour Specials Avail. ,www.weststeakandseafood.com,,1269053699
4,2,0.5,San Diego Steak restaurant,Fleming&#39;s in California,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,California,1269053699
4,3,0.75,San Diego Steak restaurant,The Prado at Balboa Park,"Outdoor Dining, Lounge, Happy Hour. In San Diego&#39;s Famous Balboa Park. ",www.pradobalboa.com,,1269053699
4,4,1,San Diego Steak restaurant,Steak Restaurant,Looking For Steak Restaurant? Find It By Location With Local.com! ,Local.com,"San Diego, CA",1269053699
4,1,0.25,San Diego Steakhouse restaurant,Fleming&#39;s in California,Celebrate with the best steaks and wine at Fleming&#39;s Prime Steakhouse. ,FlemingsSteakhouse.com,California,1269053159
4,2,0.5,San Diego Steakhouse restaurant,San Diego Steakhouses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269053159
4,3,0.75,San Diego Steakhouse restaurant,The Shores Restaurant,Casual Ocean Front Dining. Great Views &amp; Wine. Reservations Online. ,www.TheShoresRestaurant.com,,1269053159
4,4,1,San Diego Steakhouse restaurant,The Prado at Balboa Park,"Outdoor Dining, Lounge, Happy Hour. In San Diego&#39;s Famous Balboa Park. ",www.pradobalboa.com,,1269053159
2,1,0.5,San Diego Sushi restaurant,Sushi Restaurant San Diego,Find Restaurants in San Diego Using SDNN&#39;s Local Directory ,www.SDNN.com/restaurants,"San Diego, CA",1269051639
2,2,1,San Diego Sushi restaurant,Sushi Restaurant,Authentic Japanese Sushi Restaurant 3 Locations In San Diego County! ,www.LoveBoatSushi.com,"San Diego, CA",1269051639
2,1,0.5,San Diego Tapas restaurant,San Diego Tapas Bars,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269150711
2,2,1,San Diego Tapas restaurant,The Prado at Balboa Park,"Outdoor Dining, Lounge, Happy Hour. In San Diego&#39;s Famous Balboa Park. ",www.pradobalboa.com,,1269150711
2,1,0.5,San Diego Thai restaurant,San Diego Thai Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269049497
2,2,1,San Diego Thai restaurant,Thai Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269049497
1,1,1,San Diego Vegan restaurant,San Diego Vegan Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269055375
2,1,0.5,San Diego Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054609
2,2,1,San Diego Vegetarian restaurant,Bing™ Search Local,San Diego Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269054609
1,1,1,San Diego Wine Bar restaurant,Bistro West Restaurant,Enjoy Fresh Dishes &amp; Ingredients. Join Us For Dinner and Happy Hour. ,www.bistrowest.com,"4960 Avenida Encinas, Carlsbad, CA",1269132988
2,1,0.5,San Francisco Bar restaurant,Bar &amp; Restaurant,Café Claude - Classic French Bistro Discover France In San Francisco! ,www.cafeclaude.com,"San Francisco, CA",1269132476
2,2,1,San Francisco Bar restaurant,SF Restaurant Bars,Sign Up for Thrillist&#39;s Updates on Hot New Bars &amp; Hidden Nightclubs! ,Thrillist.com,,1269132476
4,1,0.25,San Francisco best restaurant,SF&#39;s Best Seafood &amp; Views,Open Table Diner&#39;s Choice Winner Best Scenic View in SF Bay Area ,www.FogHarborFishHouse.com,"San Francisco-Oakland-San Jose, CA",1269155379
4,2,0.5,San Francisco best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155379
4,3,0.75,San Francisco best restaurant,San Francisco Restaurants,Local Guide to San Francisco Dining Browse by Neighborhood or Cuisine ,www.WhereTraveler.com/SanFrancisco,,1269155379
4,4,1,San Francisco best restaurant,Award-winning food blog,Looking for SF Bay restaurants? New recipes? Check us out! ,www.KQED.org/BayAreaBites,"San Francisco-Oakland-San Jose, CA",1269155379
4,1,0.25,San Francisco Chinese restaurant,Sf Chinese Restaurants,View All of the SF Restaurants that Deliver to You. Order Online today. ,www.GrubHub.com/San_Francisco,,1269050243
4,2,0.5,San Francisco Chinese restaurant,Brandy Ho&#39;s Hunan Food,"Award Winning Chinese Dining. Eat In, Delivery and To Go in SF. ",BrandyHos.com,,1269050243
4,3,0.75,San Francisco Chinese restaurant,San Francisco Chinese,Chinese Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269050243
4,4,1,San Francisco Chinese restaurant,Chinese Restaurants,Read Local Reviews of Chinese Restaurants on Citysearch. Try it! ,SanFrancisco.Citysearch.com,"San Francisco, CA",1269050243
2,1,0.5,San Francisco fine dining restaurant,Ruth&#39;s Chris Steak House,Online reservations now available. Book your San Francisco table now. ,www.ruthschris.com,"San Francisco, CA",1269153457
2,2,1,San Francisco fine dining restaurant,IL Fornaio Trattoria,San Francisco&#39;s Authentic Italian Restaurant. Banquets Welcome. ,www.ILFornaio.com/SanFrancisco,"San Francisco, CA",1269153457
3,1,0.333333333,San Francisco French restaurant,French Restaurant,Café Claude - A French Restaurant Fantastic Food At Reasonable Prices ,www.cafeclaude.com,"San Francisco, CA",1269147231
3,2,0.666666667,San Francisco French restaurant,San Francisco French,French Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269147231
3,3,1,San Francisco French restaurant, Zagat San Fran,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"San Francisco-Oakland-San Jose, CA",1269147231
1,1,1,San Francisco Greek restaurant,Greek Restaurants,View Menus and Reviews from Locals. Search by Cuisine or Features Now. ,www.MenuPages.com,"San Francisco, CA",1269148063
1,1,1,San Francisco healthy restaurant,Voted Best Healthy Lunch,Gourmet Salads and More Try Mixt Greens in SF today! ,www.MixtGreens.com,"120 Sansome Street, San Francisco, CA",1269154859
2,1,0.5,San Francisco Indian restaurant,Great Indian Food in SF,Gaylord India Restaurant at One Embarcadero Center Open 7 days ,www.sfgaylords.com,,1269055997
2,2,1,San Francisco Indian restaurant,Indian Online Delivery,Order Food Delivery Online From Your Favorite Local Restaurant ,San-Francisco.Eat24Hours.com,"San Francisco, CA",1269055997
1,1,1,San Francisco Irish bar restaurant,Irish Bars San Francisco,Discover all the Irish bars and pubs in and around San Francisco ,www.barmano.com/irish-bars/,"San Francisco-Oakland-San Jose, CA",1269133920
4,1,0.25,San Francisco Italian restaurant,Sf Italian Restaurants,View All of the SF Restaurants that Deliver to You. Order Online today. ,www.GrubHub.com/San_Francisco,,1269048813
4,2,0.5,San Francisco Italian restaurant,San Francisco Restaurants,Local Guide to San Francisco Dining Browse by Neighborhood or Cuisine ,www.WhereTraveler.com/SanFrancisco,,1269048813
4,3,0.75,San Francisco Italian restaurant,italian restaurant,Fine Italian Cuisine &amp; Dining San Francisco Style Pizzeria ,ItsItaliaRestaurant.AdzZoo.com,,1269048813
4,4,1,San Francisco Italian restaurant,San Francisco Italian,Italian Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269048813
4,1,0.25,San Francisco Japanese restaurant,Sf Japanese Restaurants,View All of the SF Restaurants that Deliver to You. Order Online today. ,www.GrubHub.com/San_Francisco,,1269052242
4,2,0.5,San Francisco Japanese restaurant,Shimo Japanese Restaurant,Read this Japanese Restaurant&#39;s reviews &amp; find local Restaurants ,Sanfrancisco.Citysearch.com,,1269052242
4,3,0.75,San Francisco Japanese restaurant,Japanese Restaurants,View Menus and Reviews from Locals. Search by Cuisine or Features Now. ,www.MenuPages.com,"San Francisco, CA",1269052242
4,4,1,San Francisco Japanese restaurant,Benihana in California,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052242
1,1,1,San Francisco Korean restaurant,Korean Restaurants,View Menus and Reviews from Locals. Search by Cuisine or Features Now. ,www.MenuPages.com,"San Francisco, CA",1269050835
1,1,1,San Francisco Mediterranean restaurant,Layaly Mediterranean Rest,Read this Mediterranean Spot&#39;s reviews &amp; find more Restaurants ,Sanfrancisco.Citysearch.com,,1269142186
3,1,0.333333333,San Francisco Mexican restaurant,Sf Mexican Restaurants,View All of the SF Restaurants that Deliver to You. Order Online today. ,www.GrubHub.com/San_Francisco,,1269152666
3,2,0.666666667,San Francisco Mexican restaurant, Mexican Restaurant,San Francisco Mexican Restaurant Specializing in Catering &amp; Parties ,MercedesRestaurant.com/,,1269152666
3,3,1,San Francisco Mexican restaurant,Mexican Food Delivery,Browse Local Restaurant Menus Order Mexcan Food Online Now! ,San-Francisco.Eat24Hours.com,"San Francisco, CA",1269152666
1,1,1,San Francisco Middle Eastern restaurant,Middle Eastern Food in SF,Delivery Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269140630
3,1,0.333333333,San Francisco romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269153988
3,2,0.666666667,San Francisco romantic restaurant,San Francisco Romantic,Look for Top-rated Romantic Dining near you with our Ratings! ,sanfrancisco.Citysearch.com,"San Francisco, CA",1269153988
3,3,1,San Francisco romantic restaurant, Zagat San Fran,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"San Francisco-Oakland-San Jose, CA",1269153988
3,1,0.333333333,San Francisco Steak restaurant,5a5 Steak Lounge,Find top-rated Restaurants near you Try Citysearch® now ,Sanfrancisco.Citysearch.com,,1269053738
3,2,0.666666667,San Francisco Steak restaurant,Zagat San Fran,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"San Francisco-Oakland-San Jose, CA",1269053738
3,3,1,San Francisco Steak restaurant,Steak Restaurant,Check Out Local.com To Find Steak Restaurant In Your Area! ,Local.com,"San Francisco, CA",1269053738
2,1,0.5,San Francisco Steakhouse restaurant,Ruth&#39;s Chris Steak House,Fine Dining at Ruth&#39;s Chris Easy online reservations. ,www.RuthsChris.com,,1269053185
2,2,1,San Francisco Steakhouse restaurant,San Francisco Steak,Steak Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269053185
2,1,0.5,San Francisco Sushi restaurant,San Francisco Sushi,Sushi Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269051673
2,2,1,San Francisco Sushi restaurant,Mikado Sushi,Read this Japanese Restaurant&#39;s reviews &amp; find local Restaurants ,Sanfrancisco.Citysearch.com,"San Francisco, CA",1269051673
1,1,1,San Francisco Tapas restaurant,Tapas Restaurant,"N. Beach Wine, Tapas &amp; Music SF. Call For Private Parties &amp; Events ",www.Delluva.homestead.com,,1269150738
4,1,0.25,San Francisco Thai restaurant,Sf Thai Restaurants,View All of the SF Restaurants that Deliver to You. Order Online today. ,www.GrubHub.com/San_Francisco,,1269049521
4,2,0.5,San Francisco Thai restaurant,Rin&#39;s Thai Restaurant,Dine in. Take out. Free delivery! Check out our menu. Order now! ,www.RinsThaiSF.com,"4301 24th St, San Francisco, CA",1269049521
4,3,0.75,San Francisco Thai restaurant,Thai Food Delivery,Browse Local Restaurant Menus Order Thai Food Online Now! ,San-Francisco.Eat24Hours.com,"San Francisco, CA",1269049521
4,4,1,San Francisco Thai restaurant,Thai restaurants in SF,"Get Thai restaurant recommendations and pictures in San Francisco, CA ",www.tastebudd.com,,1269049521
2,1,0.5,San Francisco Vegan restaurant,Veg Food in SF,Find veg-friendly restaurants and shopping in San Francisco ,www.VegGuide.Org,,1269055414
2,2,1,San Francisco Vegan restaurant,San Francisco Vegan,Vegan Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269055414
3,1,0.333333333,San Francisco Vegetarian restaurant,Veg Food in SF,Find veg-friendly restaurants and shopping in San Francisco ,www.VegGuide.Org,,1269054646
3,2,0.666666667,San Francisco Vegetarian restaurant,Vegetarian Restaurants,Sort Local Vegetarian Dining by Rating or Distance in your city! ,sanfrancisco.Citysearch.com,,1269054646
3,3,1,San Francisco Vegetarian restaurant,Vegetarian Food Delivery,Browse Local Restaurant Menus Order Vegetarian Food Online Now! ,San-Francisco.Eat24Hours.com,"San Francisco, CA",1269054646
1,1,1,San Francisco Wine Bar restaurant,San Francisco Wine Bars,Best of Citysearch Winner! Come Experience First Crush For Yourself ,www.FirstCrush.com,,1269133014
1,1,1,San Jose Bar restaurant,San Jose Restaurant,San Jose Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269132452
2,1,0.5,San Jose best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155362
